stand_id,pier,terminal,icao_cat_max,has_airbridge,cbp_eligible,mars_type,mars_family_id,stand_type
160,Central,Remote,C,FALSE,FALSE,None,,Remote
161,Central,Remote,C,FALSE,FALSE,None,,Remote
162,Central,Remote,C,FALSE,FALSE,None,,Remote
163,Central,Remote,C,FALSE,FALSE,None,,Remote
164,Central,Remote,C,FALSE,FALSE,None,,Remote
165,Central,Remote,C,FALSE,FALSE,None,,Remote
166,Central,Remote,C,FALSE,FALSE,None,,Remote
167,Central,Remote,C,FALSE,FALSE,None,,Remote
168,Central,Remote,C,FALSE,FALSE,None,,Remote
169,Central,Remote,C,FALSE,FALSE,None,,Remote
170,Central,Remote,C,FALSE,FALSE,None,,Remote
171,Central,Remote,C,FALSE,FALSE,None,,Remote
172,Central,Remote,C,FALSE,FALSE,None,,Remote
173,Central,Remote,C,FALSE,FALSE,None,,Remote
200,2,T1,C,FALSE,FALSE,None,,Contact
201,2,T1,C,FALSE,FALSE,None,,Contact
202,2,T1,C,FALSE,FALSE,None,,Contact
203,1,T1,E,FALSE,FALSE,Centre,FAM_P1_120,Contact
203,2,T1,E,FALSE,FALSE,Centre,FAM_P2_203,Contact
204,2,T1,C,FALSE,FALSE,None,,Contact
205,1,T1,E,FALSE,FALSE,Centre,FAM_P1_120,Contact
205,2,T1,E,FALSE,FALSE,Centre,FAM_P2_205,Contact
206,2,T1,C,FALSE,FALSE,None,,Contact
207,2,T1,C,FALSE,FALSE,None,,Contact
208,2,T1,C,FALSE,FALSE,None,,Contact
209,2,T1,C,FALSE,FALSE,None,,Contact
210,2,T1,C,FALSE,FALSE,None,,Contact
211,2,T1,C,FALSE,FALSE,None,,Contact
212,2,T1,C,FALSE,FALSE,None,,Contact
213,2,T1,C,FALSE,FALSE,None,,Contact
214,2,T1,C,FALSE,FALSE,None,,Contact
215,2,T1,C,FALSE,FALSE,None,,Contact
216,2,T1,C,FALSE,FALSE,None,,Contact
217,2,T1,C,FALSE,FALSE,None,,Contact
218,2,T1,C,FALSE,FALSE,None,,Contact
219,2,T1,C,FALSE,FALSE,None,,Contact
220,2,T1,C,FALSE,FALSE,None,,Contact
221,2,T1,C,FALSE,FALSE,None,,Contact
222,2,T1,C,FALSE,FALSE,None,,Contact
223,2,T1,C,FALSE,FALSE,None,,Contact
301,3,Shared,C,TRUE,FALSE,None,,Contact
302,3,Shared,C,TRUE,FALSE,None,,Contact
303,3,Shared,C,TRUE,FALSE,None,,Contact
304,3,Shared,C,TRUE,FALSE,None,,Contact
305,3,Shared,C,TRUE,FALSE,None,,Contact
306,3,Shared,C,TRUE,FALSE,None,,Contact
307,3,Shared,C,TRUE,FALSE,None,,Contact
308,3,Shared,C,TRUE,FALSE,None,,Contact
309,3,Shared,C,TRUE,FALSE,None,,Contact
310,3,Shared,C,TRUE,FALSE,None,,Contact
311,3,Shared,E,TRUE,FALSE,Centre,FAM_P3_311,Contact
312,3,Shared,E,TRUE,FALSE,Centre,FAM_P3_312,Contact
313,3,Shared,E,TRUE,FALSE,Centre,FAM_P3_313,Contact
314,3,Shared,E,TRUE,FALSE,Centre,FAM_P3_314,Contact
315,3,Shared,E,TRUE,FALSE,Centre,FAM_P3_315,Contact
316,3,Shared,E,TRUE,FALSE,Centre,FAM_P3_316,Contact
317,3,Shared,E,TRUE,FALSE,Centre,FAM_P3_317,Contact
318,3,Shared,E,TRUE,FALSE,Centre,FAM_P3_318,Contact
401,4,T2,E,TRUE,TRUE,Centre,FAM_P4_401,Contact
402,4,T2,C,TRUE,FALSE,None,,Contact
402,4,T2,E,TRUE,TRUE,Centre,FAM_P4_402,Contact
403,4,T2,C,TRUE,FALSE,None,,Contact
403,4,T2,E,TRUE,TRUE,Centre,FAM_P4_403,Contact
404,4,T2,C,TRUE,FALSE,None,,Contact
404,4,T2,E,TRUE,FALSE,Centre,FAM_P4_404,Contact
405,4,T2,C,TRUE,FALSE,None,,Contact
405,4,T2,E,TRUE,FALSE,Centre,FAM_P4_405,Contact
406,4,T2,C,TRUE,FALSE,None,,Contact
406,4,T2,E,TRUE,TRUE,Centre,FAM_P4_406,Contact
407,4,T2,C,TRUE,FALSE,None,,Contact
407,4,T2,E,TRUE,TRUE,Centre,FAM_P4_407,Contact
408,4,T2,C,TRUE,FALSE,None,,Contact
408,4,T2,E,TRUE,TRUE,Centre,FAM_P4_408,Contact
409,4,T2,C,TRUE,FALSE,None,,Contact
409,4,T2,E,TRUE,TRUE,Centre,FAM_P4_409,Contact
410,4,T2,C,TRUE,FALSE,None,,Contact
410,4,T2,E,TRUE,FALSE,Centre,FAM_P4_410,Contact
411,4,T2,C,TRUE,FALSE,None,,Contact
412,4,T2,C,TRUE,FALSE,None,,Contact
413,4,T2,C,TRUE,FALSE,None,,Contact
414,4,T2,C,TRUE,FALSE,None,,Contact
415,4,T2,C,TRUE,FALSE,None,,Contact
416,4,T2,C,TRUE,FALSE,None,,Contact
417,4,T2,C,TRUE,FALSE,None,,Contact
418,4,T2,C,TRUE,FALSE,None,,Contact
419,4,T2,C,TRUE,FALSE,None,,Contact
420,4,T2,C,TRUE,FALSE,None,,Contact
421,4,T2,C,TRUE,FALSE,None,,Contact
422,4,T2,C,TRUE,FALSE,None,,Contact
423,4,T2,C,TRUE,FALSE,None,,Contact
424,4,T2,C,TRUE,FALSE,None,,Contact
425,4,T2,C,TRUE,FALSE,None,,Contact
426,4,T2,C,TRUE,FALSE,None,,Contact
501,4,T2,C,TRUE,FALSE,None,,Contact
502,4,T2,C,TRUE,FALSE,None,,Contact
503,4,T2,C,TRUE,FALSE,None,,Contact
504,4,T2,C,TRUE,FALSE,None,,Contact
505,4,T2,C,TRUE,FALSE,None,,Contact
506,4,T2,C,TRUE,FALSE,None,,Contact
507,4,T2,C,TRUE,FALSE,None,,Contact
508,4,T2,C,TRUE,FALSE,None,,Contact
509,4,T2,C,TRUE,FALSE,None,,Contact
510,4,T2,C,TRUE,FALSE,None,,Contact
511,4,T2,C,TRUE,FALSE,None,,Contact
512,4,T2,C,TRUE,FALSE,None,,Contact
513,4,T2,C,TRUE,FALSE,None,,Contact
515,4,T2,C,TRUE,FALSE,None,,Contact
516,4,T2,C,TRUE,FALSE,None,,Contact
517,4,T2,C,TRUE,FALSE,None,,Contact
518,4,T2,C,TRUE,FALSE,None,,Contact
519,4,T2,C,TRUE,FALSE,None,,Contact
600,West,Remote,E,FALSE,FALSE,None,,Remote
601,West,Remote,E,FALSE,FALSE,None,,Remote
602,West,Remote,E,FALSE,FALSE,None,,Remote
603,West,Remote,E,FALSE,FALSE,None,,Remote
604,West,Remote,E,FALSE,FALSE,None,,Remote
605,West,Remote,E,FALSE,FALSE,None,,Remote
606,West,Remote,E,FALSE,FALSE,None,,Remote
607,West,Remote,E,FALSE,FALSE,None,,Remote
608,West,Remote,E,FALSE,FALSE,None,,Remote
609,West,Remote,E,FALSE,FALSE,None,,Remote
610,West,Remote,E,FALSE,FALSE,None,,Remote
611,West,Remote,E,FALSE,FALSE,Centre,FAM_WA_611,Remote
612,West,Remote,E,FALSE,FALSE,None,,Remote
613,West,Remote,E,FALSE,FALSE,Centre,FAM_WA_613,Remote
614,West,Remote,E,FALSE,FALSE,None,,Remote
615,West,Remote,E,FALSE,FALSE,Centre,FAM_WA_615,Remote
616,West,Remote,E,FALSE,FALSE,None,,Remote
617,West,Remote,E,FALSE,FALSE,Centre,FAM_WA_617,Remote
618,West,Remote,E,FALSE,FALSE,None,,Remote
619,West,Remote,E,FALSE,FALSE,Centre,FAM_WA_619,Remote
620,West,Remote,E,FALSE,FALSE,None,,Remote
621,West,Remote,E,FALSE,FALSE,Centre,FAM_WA_621,Remote
622,West,Remote,E,FALSE,FALSE,None,,Remote
623,West,Remote,E,FALSE,FALSE,Centre,FAM_WA_623,Remote
701,South,Cargo,E,FALSE,FALSE,None,,Cargo
702,South,Cargo,E,FALSE,FALSE,None,,Cargo
703,South,Cargo,E,FALSE,FALSE,None,,Cargo
704,South,Cargo,E,FALSE,FALSE,None,,Cargo
705,South,Cargo,E,FALSE,FALSE,None,,Cargo
706,South,Cargo,E,FALSE,FALSE,None,,Cargo
707,South,Cargo,E,FALSE,FALSE,None,,Cargo
708,South,Cargo,E,FALSE,FALSE,None,,Cargo
709,South,Cargo,E,FALSE,FALSE,None,,Cargo
710,South,Cargo,E,FALSE,FALSE,None,,Cargo
711,South,Cargo,E,FALSE,FALSE,None,,Cargo
HP1,North,Remote,D,FALSE,FALSE,None,,Remote
HP2,North,Remote,D,FALSE,FALSE,None,,Remote
HP3,North,Remote,D,FALSE,FALSE,None,,Remote
HP4,North,Remote,D,FALSE,FALSE,None,,Remote
L1,West,Remote,E,FALSE,FALSE,None,,Remote
L2,West,Remote,E,FALSE,FALSE,None,,Remote
L3,West,Remote,E,FALSE,FALSE,None,,Remote
R101,South,Cargo,E,FALSE,FALSE,None,,Cargo
R105,South,Cargo,E,FALSE,FALSE,None,,Cargo
R106,South,Cargo,E,FALSE,FALSE,None,,Cargo
R107,South,Cargo,E,FALSE,FALSE,None,,Cargo
R108,South,Cargo,E,FALSE,FALSE,None,,Cargo
R109,South,Cargo,E,FALSE,FALSE,None,,Cargo
R110,South,Cargo,E,FALSE,FALSE,None,,Cargo
R111,South,Cargo,E,FALSE,FALSE,None,,Cargo
R112,South,Cargo,E,FALSE,FALSE,None,,Cargo
R113,South,Cargo,E,FALSE,FALSE,None,,Cargo
R115,South,Cargo,E,FALSE,FALSE,None,,Cargo
R116,South,Cargo,E,FALSE,FALSE,None,,Cargo
R117,South,Cargo,E,FALSE,FALSE,None,,Cargo
R201,South,Cargo,E,FALSE,FALSE,None,,Cargo
R202,South,Cargo,E,FALSE,FALSE,None,,Cargo
R203,South,Cargo,E,FALSE,FALSE,None,,Cargo
R204,South,Cargo,E,FALSE,FALSE,None,,Cargo
R205,South,Cargo,E,FALSE,FALSE,None,,Cargo
TS1,North,Remote,D,FALSE,FALSE,None,,Remote
TS2,North,Remote,D,FALSE,FALSE,None,,Remote
TS3,North,Remote,D,FALSE,FALSE,None,,Remote
TS4,North,Remote,D,FALSE,FALSE,None,,Remote
